CRM
PG
JNJ
JPM
TSM
NFLX
AAPL
COST
TSLA
HD
META
BRK-B
BAC
GOOG
AMZN
ABBV
WMT
V
UNH
XOM
NVDA
MA
MSFT
AVGO
LLY
ORCL
NVO
CVX
MCD
ACN
MRK
ASML
TMUS
NOW
KO
CSCO
IBM
WFC
BABA
PEP
AZN
AXP
MS
AMD
HSBC
ABT
DIS
DHR
INTU
TMO
QCOM
CAT
VZ
ADBE
SHEL
ISRG
T
PLTR
TXN
BKNG
PM
GE
RTX
GS
BLK
HON
ANET
PFE
NEE
SHOP
SPGI
C
PGR
AMGN
UNP
AMAT
PDD
TJX
SCHW
SONY
CMCSA
BSX
PANW
KKR
LOW
BA
UBER
ARM
COP
ADP
NKE
BMY
GILD
LMT
BX
UPS
ADI
DE
FI
APP
APO
SBUX
BUD
MDT
VRTX
MRVL
CRWD
GEV
MU
SO
MO
LRCX
INTC
PYPL
SPOT
UBS
MSTR
MELI
MAR
REGN
DELL
PNC
CI
ABNB
MDLZ
CMG
PBR
USB
BP
GD
MCK
EMR
CEG
CL
MMM
FTNT
WDAY
DASH
COIN
GSK
EPD
COF
WMB
ET
FDX
TEAM
CRH
SE
CSX
TTD
KMI
DLR
ADSK
TGT
EOG
RCL
NTES
GM
JD
AFL
BK
TFC
FCX
SQ
NXPI
NSC
CVS
MET
SNOW
SLB
MNST
DDOG
CHTR
URI
NU
ROST
VST
FANG
AIG
PSX
DFS
DHI
LULU
PCG
VRT
OXY
SU
KR
KMB
FIS
KVUE
MPC
CPNG
NEM
STZ
GLW
F
HES
DAL
EA
VLO
RBLX
VALE
NET
KHC
LVS
GEHC
LEN
HOOD
TTWO
CCL
UAL
DD
DECK
MCHP
HSY
DXCM
RDDT
HUM
HPQ
CNC
BIDU
EBAY
ON
GDDY
TSCO
CAH
ZS
DOW
HPE
K
GOLD
PPG
NUE
EL
CVNA
WPM
ZM
EQT
WBD
LI
TEVA
IOT
EXPE
NTAP
ADM
NOK
HAL
CCJ
PHM
RKT
BEKE
BIIB
NTR
WDC
VOD
TOST
ILMN
TECK
AFRM
LUV
PINS
DVN
CLX
ULTA
FSLR
SMCI
GRAB
MDB
IP
DOCU
BBY
STX
DKS
ONON
DKNG
Z
SNAP
BURL
MT
HRL
CTRA
SOFI
KEY
TWLO
DG
ALGN
DLTR
MRNA
COHR
MBLY
BAX
TPR
DPZ
AKAM
CF
RIVN
SYM
OKTA
SMMT
GME
CHWY
CAVA
RKLB
CAG
TOL
CPB
XPEV
FUTU
PAA
SRPT
NCLH
KGC
ROKU
ACI
AAL
CLS
CART
ALLY
NLY
ALB
AR
MGM
