,MSTR_IBIT_return,MSTR_IBIT_cum_return,AMAT_LRCX_return,AMAT_LRCX_cum_return,NVDA_AMD_return,NVDA_AMD_cum_return,LCID_RIVN_return,LCID_RIVN_cum_return,ENPH_SEDG_return,ENPH_SEDG_cum_return,NTES_BILI_return,NTES_BILI_cum_return,SLB_HAL_return,SLB_HAL_cum_return,LOW_HD_return,LOW_HD_cum_return,MAR_HLT_return,MAR_HLT_cum_return,BKNG_EXPE_return,BKNG_EXPE_cum_return,S_CRWD_return,S_CRWD_cum_return,active_pairs,MSTR_IBIT_weight,AMAT_LRCX_weight,NVDA_AMD_weight,LCID_RIVN_weight,ENPH_SEDG_weight,NTES_BILI_weight,SLB_HAL_weight,LOW_HD_weight,MAR_HLT_weight,BKNG_EXPE_weight,S_CRWD_weight,equal_weighted_return,equal_weighted_cum_return,inv_vol_weighted_return,inv_vol_weighted_cum_return
2023-12-22,,,0.0,1.5673992740683018,0.0011140784979730039,2.0701552401649224,0.007563383742325689,1.6269605418131587,0.004971200732076647,2.6669570730443635,0.0,1.7521344319721461,0.0,1.3880532454383527,0.0,1.6479317748276272,0.0004446052092774862,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0014093268181652825,2.0280107923556234,0.0008301027098416202,1.892891878526073
2023-12-26,,,0.0,1.5673992740683018,0.0,2.0701552401649224,0.0,1.6269605418131587,0.0,2.6669570730443635,0.0,1.7521344319721461,-9.194726579735656e-05,1.3879256177376535,0.0,1.6479317748276272,0.0,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-9.194726579735656e-06,2.0279921453508867,-9.291553607033869e-06,1.8928742906197114
2023-12-27,,,0.0,1.5673992740683018,0.0,2.0701552401649224,0.0,1.6269605418131587,0.0,2.6669570730443635,0.0,1.7521344319721461,0.0,1.3879256177376535,0.0,1.6479317748276272,0.0,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0,2.0279921453508867,0.0,1.8928742906197114
2023-12-28,,,0.0,1.5673992740683018,0.0,2.0701552401649224,0.0,1.6269605418131587,0.0,2.6669570730443635,0.0,1.7521344319721461,0.0,1.3879256177376535,0.0,1.6479317748276272,0.0,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0,2.0279921453508867,0.0,1.8928742906197114
2023-12-29,,,0.0,1.5673992740683018,0.0,2.0701552401649224,0.0,1.6269605418131587,0.0,2.6669570730443635,0.0,1.7521344319721461,0.0006822607997595311,1.3888725449796182,0.0,1.6479317748276272,0.0,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,6.822607997595311e-05,2.0281305073051863,6.89445492475507e-05,1.89300479398446
2024-01-02,,,0.0,1.5673992740683018,0.0,2.0701552401649224,0.0,1.6269605418131587,0.0,2.6669570730443635,0.0,1.7521344319721461,0.0,1.3888725449796182,0.0,1.6479317748276272,0.0,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0,2.0281305073051863,0.0,1.89300479398446
2024-01-03,,,0.0,1.5673992740683018,-0.008442037673906912,2.0526789116366144,0.007901705512830898,1.6398163048955623,0.0,2.6669570730443635,0.0,1.7521344319721461,0.0,1.3888725449796182,-0.004241297208180846,1.6409424063917781,0.0,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.000478162936925686,2.0271607304653445,-0.0010711331461368146,1.8909771338038275
2024-01-04,,,0.0,1.5673992740683018,0.0,2.0526789116366144,0.0,1.6398163048955623,0.0,2.6669570730443635,0.0,1.7521344319721461,0.0,1.3888725449796182,0.0,1.6409424063917781,0.0,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0,2.0271607304653445,0.0,1.8909771338038275
2024-01-05,,,0.0,1.5673992740683018,0.0008819618447458008,2.0544892961161922,0.008472685124288715,1.653709952108617,0.0,2.6669570730443635,0.0,1.7521344319721461,0.0,1.3888725449796182,0.0005450349106104328,1.6418367772895628,0.0,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0009899681879644948,2.0291675551003965,0.0006086779462963446,1.8921281298821246
2024-01-08,,,0.0,1.5673992740683018,0.0,2.0544892961161922,0.0,1.653709952108617,0.0,2.6669570730443635,0.0,1.7521344319721461,0.0,1.3888725449796182,0.0,1.6418367772895628,0.0,2.0528530541582453,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0,2.0291675551003965,0.0,1.8921281298821246
2024-01-09,,,0.002030801891887026,1.5705823514794222,0.0,2.0544892961161922,0.0,1.653709952108617,0.0,2.6669570730443635,0.0,1.7521344319721461,-0.011051581007818879,1.3735233075392403,0.0,1.6418367772895628,0.003500295867628252,2.0600386472205634,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.00055204832483036,2.028047356550803,-0.00037098399318629495,1.891426180632881
2024-01-10,,,0.0,1.5705823514794222,0.0,2.0544892961161922,0.0,1.653709952108617,0.022891267377317486,2.72800710048725,0.0,1.7521344319721461,0.007422643528328915,1.3837184814289554,0.0,1.6418367772895628,0.0,2.0600386472205634,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0030313910905646405,2.0341951612386944,0.0020536195259062673,1.8953104503692388
2024-01-11,,,0.0,1.5705823514794222,-0.007899939199798253,2.038258955590238,-0.01669878762727882,1.6260950008212376,0.01316387450684343,2.7639182436118417,0.0,1.7521344319721461,-0.002184313574388268,1.380696006366838,0.0005218125460856112,1.6426935083185772,0.0,2.0600386472205634,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.0013097353348536299,2.0315309039580316,-0.0009445782026902889,1.893520181430489
2024-01-12,,,0.0010984060177533816,1.5723074885856645,0.000895994659928074,2.040085224729997,-0.007279011996445349,1.6142586358029,0.01067146355570582,2.793413296419496,0.0,1.7521344319721461,0.001380398554520539,1.382601917138259,0.0007771066741086687,1.6439700564074067,0.0006421077327010026,2.0613614139656065,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0008186465198272136,2.0331940096624783,0.0008248397127886911,1.8950820320730999
2024-01-16,,,0.0,1.5723074885856645,0.0,2.040085224729997,0.0,1.6142586358029,0.0,2.793413296419496,0.0,1.7521344319721461,0.006471499726227004,1.3915494250665001,0.0,1.6439700564074067,0.0011377761977464048,2.0637067819173693,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0007609275923973409,2.034741123085128,0.0008027085088110308,1.8966032305451397
2024-01-17,,,-0.006501710015236141,1.5620848012400963,-0.013076465162577496,2.013408121360126,0.0,1.6142586358029,0.0,2.793413296419496,0.0,1.7521344319721461,-0.0006944079892250215,1.3905831220283325,0.0,1.6439700564074067,0.0,2.0637067819173693,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.0020272583167038655,2.030616177221014,-0.0021553523046611255,1.8925153824011565
2024-01-18,,,-0.0023448870351244454,1.5584218888419035,0.0,2.013408121360126,-0.007621283726817984,1.60195591273098,0.0030431323167447455,2.801914022695855,0.0,1.7521344319721461,0.0,1.3905831220283325,0.0,1.6439700564074067,0.0,2.0637067819173693,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.0006923038445197684,2.02921037383478,-0.0005523376930652137,1.8914700748207507
2024-01-19,,,0.0012068475793935187,1.5603026665261264,0.0011885039400471936,2.0158010648452858,0.0039215996068416884,1.6082381424085237,0.004523555660881373,2.814588636734524,0.0,1.7521344319721461,-0.0009137983118547807,1.3893124095189293,0.0,1.6439700564074067,0.004504570356038765,2.07300289431075,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0014431278831347758,2.0321387839060074,0.0012332119100459888,1.8938026582445153
2024-01-22,,,0.0,1.5603026665261264,0.021478188488681625,2.059096820071718,-0.00544602916583882,1.5994796305793524,-0.0038895329120044626,2.8036412015981913,0.0,1.7521344319721461,0.0,1.3893124095189293,0.0,1.6439700564074067,0.004747871308179062,2.08284524527442,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0016890497719017404,2.0355711674554366,0.00202783377014944,1.8976429752289021
2024-01-23,,,0.0,1.5603026665261264,-0.0016945421473302618,2.0556075937246727,0.0,1.5994796305793524,0.0,2.8036412015981913,0.0,1.7521344319721461,0.0,1.3893124095189293,0.0007809247492774271,1.645253873311526,-0.00357631991324246,2.075396324347543,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.0004489937311295295,2.034657208761981,-0.00048414351072051783,1.8967242436967806
2024-01-24,,,0.0,1.5603026665261264,0.0,2.0556075937246727,0.0214240361019808,1.6337469399292674,0.004521740239182951,2.8163185388356893,0.0,1.7521344319721461,-0.01291634208228214,1.3713675751784233,0.0,1.645253873311526,0.0,2.075396324347543,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0013029434258881609,2.0373082519960737,5.656125812427467e-05,1.8968315248063188
2024-01-25,,,0.02625615884118686,1.601270221178764,-0.004570294956782131,2.0462128607059498,0.0,1.6337469399292674,0.0,2.8163185388356893,0.0,1.7521344319721461,0.007423258516937353,1.3815475912107182,0.0,1.645253873311526,0.0,2.075396324347543,0.0,1.4984153411995136,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.0029109122401342084,2.0432386775237354,0.004070141188632837,1.9045518969233302
2024-01-26,,,-0.0005477134783049595,1.600393183896216,0.0028877640868615346,2.052121840719171,0.012381952717615007,1.6539759172920199,0.016658637154573268,2.8632345674858506,0.0,1.7521344319721461,0.0039358438233368384,1.3869851467642307,0.0006600018077469797,1.6463397438421143,-0.003857979295979543,2.067389488297258,0.004840868031591067,1.5056689721227718,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,0.003695937484744019,2.0507903599422743,0.0022839183935902197,1.9089017380322606
2024-01-29,,,0.0,1.600393183896216,0.0,2.052121840719171,0.0,1.6539759172920199,0.0,2.8632345674858506,0.0,1.7521344319721461,0.0,1.3869851467642307,-0.0012294000216848402,1.6443157337253342,-0.0007172325649752796,2.0659066892317637,0.0,1.5056689721227718,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.00019466325866601198,2.050391146407967,-0.0003047743119278103,1.908319953818514
2024-01-30,,,0.0,1.600393183896216,-0.019422062626485607,2.0122654018115442,-0.052888355269834125,1.5664998513705297,0.0,2.8632345674858506,0.0,1.7521344319721461,0.0379032377961465,1.4395563746017586,0.0,1.6443157337253342,0.0,2.0659066892317637,0.0,1.5056689721227718,0.0,2.4770433164986714,20,0.0,0.1419203234443848,0.08889676543728182,0.05154526930058871,0.056944798148175595,0.0830765476209764,0.10105307130623777,0.1716358948897766,0.13073184850670266,0.10564944500153602,0.06854603634433959,-0.003440718010017323,2.043336328662941,-0.0006224644691124196,1.9071320924515638
